symbol,priceChange,priceChangePercent,lastPrice,volume,quoteVolume
RPXBTC,0.0,0.0,0.0,0.0,0.0
RPXETH,0.0,0.0,0.0,0.0,0.0
RPXBNB,0.0,0.0,0.0,0.0,0.0
NCASHBTC,0.0,0.0,0.0,0.0,0.0
NCASHETH,0.0,0.0,0.0,0.0,0.0
NCASHBNB,0.0,0.0,0.0,0.0,0.0
POABTC,0.0,0.0,0.0,0.0,0.0
POAETH,0.0,0.0,0.0,0.0,0.0
POABNB,0.0,0.0,0.0,0.0,0.0
ZILBTC,1e-08,8.333,1.3e-07,3976410.0,0.51804263
ZILETH,2.6e-07,3.84,7.03e-06,2107288.0,14.6380814
ZILBNB,0.0,0.0,0.0,0.0,0.0
ONTBTC,5e-08,3.226,1.6e-06,180090.0,0.28714696
ONTETH,0.0,0.0,0.0,0.0,0.0
ONTBNB,0.0,0.0,0.0,0.0,0.0
STORMBTC,0.0,0.0,0.0,0.0,0.0
STORMETH,0.0,0.0,0.0,0.0,0.0
STORMBNB,0.0,0.0,0.0,0.0,0.0
QTUMBNB,0.0,0.0,0.0,0.0,0.0
QTUMUSDT,0.03,1.535,1.985,1042619.5,2034196.987
XEMBTC,0.0,0.0,0.0,0.0,0.0
XEMETH,0.0,0.0,0.0,0.0,0.0
XEMBNB,0.0,0.0,0.0,0.0,0.0
WANBTC,1e-08,0.87,1.16e-06,49784.0,0.05733924
WANETH,0.0,0.0,0.0,0.0,0.0
WANBNB,0.0,0.0,0.0,0.0,0.0
WPRBTC,0.0,0.0,0.0,0.0,0.0
WPRETH,0.0,0.0,0.0,0.0,0.0
QLCBTC,0.0,0.0,0.0,0.0,0.0
QLCETH,0.0,0.0,0.0,0.0,0.0
SYSBTC,0.0,0.0,4e-07,701760.0,0.27412054
SYSETH,0.0,0.0,0.0,0.0,0.0
SYSBNB,0.0,0.0,0.0,0.0,0.0
QLCBNB,0.0,0.0,0.0,0.0,0.0
GRSBTC,0.0,0.0,0.0,0.0,0.0
GRSETH,0.0,0.0,0.0,0.0,0.0
ADAUSDT,-0.0029,-0.467,0.6176,134636594.8,81967336.99664
ADABNB,-1e-05,-0.939,0.001055,127731.7,133.1482998
CLOAKBTC,0.0,0.0,0.0,0.0,0.0
CLOAKETH,0.0,0.0,0.0,0.0,0.0
GNTBTC,0.0,0.0,0.0,0.0,0.0
GNTETH,0.0,0.0,0.0,0.0,0.0
GNTBNB,0.0,0.0,0.0,0.0,0.0
LOOMBTC,0.0,0.0,0.0,0.0,0.0
LOOMETH,0.0,0.0,0.0,0.0,0.0
LOOMBNB,0.0,0.0,0.0,0.0,0.0
XRPUSDT,-0.0176,-0.829,2.1051,157338294.0,327797273.2054
BCNBTC,0.0,0.0,0.0,0.0,0.0
BCNETH,0.0,0.0,0.0,0.0,0.0
BCNBNB,0.0,0.0,0.0,0.0,0.0
REPBTC,0.0,0.0,0.0,0.0,0.0
REPBNB,0.0,0.0,0.0,0.0,0.0
BTCTUSD,405.49,0.482,84610.43,2.55897,215343.2220665
TUSDBTC,0.0,0.0,0.0,0.0,0.0
ETHTUSD,-25.58,-1.585,1588.19,50.7774,80364.461202
TUSDETH,0.0,0.0,0.0,0.0,0.0
TUSDBNB,0.0,0.0,0.0,0.0,0.0
ZENBTC,2.3e-06,2.408,9.78e-05,10526.27,1.01507914
ZENETH,0.0,0.0,0.0,0.0,0.0
ZENBNB,0.0,0.0,0.0,0.0,0.0
SKYBTC,0.0,0.0,0.0,0.0,0.0
SKYETH,0.0,0.0,0.0,0.0,0.0
SKYBNB,0.0,0.0,0.0,0.0,0.0
